date,FELONY,MISDEMEANOR,VIOLATION,total
2006-01-01,861,1062,231,2154
2006-01-02,401,632,179,1212
2006-01-03,473,721,187,1381
2006-01-04,493,861,175,1529
2006-01-05,522,869,208,1599
2006-01-06,580,869,209,1658
2006-01-07,395,767,187,1349
2006-01-08,415,728,189,1332
2006-01-09,534,716,176,1426
2006-01-10,496,879,201,1576
2006-01-11,484,843,212,1539
2006-01-12,533,856,197,1586
2006-01-13,601,932,216,1749
2006-01-14,427,695,169,1291
2006-01-15,356,661,156,1173
2006-01-16,360,654,168,1182
2006-01-17,484,774,191,1449
2006-01-18,499,800,166,1465
2006-01-19,534,820,196,1550
2006-01-20,562,901,192,1655
2006-01-21,457,825,188,1470
2006-01-22,360,696,185,1241
2006-01-23,484,790,195,1469
2006-01-24,493,840,181,1514
2006-01-25,524,790,194,1508
2006-01-26,433,744,193,1370
2006-01-27,501,853,180,1534
2006-01-28,428,738,163,1329
2006-01-29,386,661,173,1220
2006-01-30,450,722,213,1385
2006-01-31,414,698,183,1295
2006-02-01,597,972,200,1769
2006-02-02,470,879,209,1558
2006-02-03,523,889,206,1618
2006-02-04,409,794,182,1385
2006-02-05,341,679,186,1206
2006-02-06,436,800,197,1433
2006-02-07,427,833,189,1449
2006-02-08,432,838,183,1453
2006-02-09,459,754,176,1389
2006-02-10,548,849,200,1597
2006-02-11,430,691,161,1282
2006-02-12,206,374,141,721
2006-02-13,329,550,149,1028
2006-02-14,403,709,187,1299
2006-02-15,453,918,214,1585
2006-02-16,475,842,192,1509
2006-02-17,568,931,219,1718
2006-02-18,376,746,148,1270
2006-02-19,356,619,144,1119
2006-02-20,357,693,156,1206
2006-02-21,456,828,162,1446
2006-02-22,435,773,165,1373
2006-02-23,449,738,176,1363
2006-02-24,391,749,160,1300
2006-02-25,381,733,158,1272
2006-02-26,321,614,143,1078
2006-02-27,425,679,178,1282
2006-02-28,489,767,187,1443
2006-03-01,608,962,211,1781
2006-03-02,416,750,180,1346
2006-03-03,497,847,175,1519
2006-03-04,418,778,154,1350
2006-03-05,358,661,148,1167
2006-03-06,445,802,207,1454
2006-03-07,449,829,197,1475
2006-03-08,458,838,217,1513
2006-03-09,487,832,213,1532
2006-03-10,543,891,225,1659
2006-03-11,452,822,202,1476
2006-03-12,357,652,178,1187
2006-03-13,496,772,193,1461
2006-03-14,485,817,210,1512
2006-03-15,479,889,196,1564
2006-03-16,494,816,205,1515
2006-03-17,499,885,191,1575
2006-03-18,399,789,177,1365
2006-03-19,362,655,163,1180
2006-03-20,459,827,198,1484
2006-03-21,424,843,189,1456
2006-03-22,472,834,185,1491
2006-03-23,458,862,210,1530
2006-03-24,526,810,181,1517
